Date Stocked,Location stocked,Catchment,Species stocked,Number stocked
29/11/2015,Lenthalls Dam (Lake Lenthall),Mary,Australian Bass,14548
4/12/2015,Lake MacDonald,Mary,Golden Perch,15786
4/12/2015,Lake MacDonald,Mary,Australian Bass,30000
5/12/2015,Wuruma Dam,Burnett,Australian Bass,52749
5/12/2015,Eungella Dam,Burdekin,Barramundi,2661
10/12/2015,Moogerah Dam,Brisbane,Australian Bass,65984
10/12/2015,Maroon Dam,Logan,Golden Perch,30490
10/12/2015,Maroon Dam,Logan,Australian Bass,36584
10/12/2015,Moogerah Dam,Brisbane,Golden Perch,54985
11/12/2015,Fred Haigh Dam (Lake Monduran),Kolan,Barramundi,8132
12/12/2015,Callide Dam,Fitzroy,Barramundi,15519
13/12/2015,Lake Gregory,Burnett,Australian Bass,15000
13/12/2015,Paradise Dam,Burnett,Barramundi,7307
13/12/2015,Coolmunda Dam,Border Rivers,Murray Cod,10000
13/12/2015,Coolmunda Dam,Border Rivers,Silver Perch,15000
13/12/2015,Coolmunda Dam,Border Rivers,Golden Perch,91365
14/12/2015,Lake Awoonga,Gladstone,Barramundi,57304
14/12/2015,Lake Awoonga,Gladstone,Barramundi,22627
19/12/2015,Condamine River (Upper - Warwick),Condamine and Balonne,Murray Cod,2000
19/12/2015,Wivenhoe Dam,Brisbane,Golden Perch,51434
19/12/2015,Somerset Dam,Brisbane,Golden Perch,82052
19/12/2015,Connolly Dam,Condamine and Balonne,Murray Cod,500
19/12/2015,Leslie Dam,Condamine and Balonne,Murray Cod,5000
20/12/2015,Boondooma Dam,Burnett,Golden Perch,83376
31/12/2015,Glenlyon Dam,Border Rivers,Golden Perch,85000
5/01/2016,Borumba Dam,Mary,Golden Perch,40000
5/01/2016,Borumba Dam,Mary,Australian Bass,22000
5/01/2016,Glenlyon Dam,Border Rivers,Murray Cod,4545
7/01/2016,Cooby Dam,Condamine and Balonne,Golden Perch,25000
7/01/2016,Cooby Dam,Condamine and Balonne,Murray Cod,3000
9/01/2016,Storm King Dam,Border Rivers,Murray Cod,4000
9/01/2016,Storm King Dam,Border Rivers,Golden Perch,13923
10/01/2016,North Pine Dam,Pine,Australian Bass,30000
10/01/2016,North Pine Dam,Pine,Golden Perch,145000
16/01/2016,Cania Dam,Burnett,Australian Bass,56811
16/01/2016,Condamine River (Upper - Warwick),Condamine and Balonne,Silver Perch,1500
16/01/2016,Wuruma Dam,Burnett,Golden Perch,32968
17/01/2016,Paradise Dam,Burnett,Australian Bass,10909
20/01/2016,Lake Gregory,Burnett,Saratoga,45
30/01/2016,Storm King Dam,Border Rivers,Silver Perch,1500
30/01/2016,Kinchant Dam,Pioneer,Barramundi,1700
31/01/2016,Teemburra Dam,Pioneer,Barramundi,4000
3/02/2016,Lake Dyer (Bill Gunn Dam),Brisbane,Australian Bass,6500
3/02/2016,Lake Dyer (Bill Gunn Dam),Brisbane,Golden Perch,6500
3/02/2016,Lake Dyer (Bill Gunn Dam),Brisbane,Silver Perch,6500
10/02/2016,Callide Dam,Fitzroy,Golden Perch,21820
12/02/2016,Leslie Dam,Condamine and Balonne,Silver Perch,5000
12/02/2016,Connolly Dam,Condamine and Balonne,Silver Perch,1500
12/02/2016,Leslie Dam,Condamine and Balonne,Golden Perch,7700
14/02/2016,Glenlyon Dam,Border Rivers,Silver Perch,10000
19/02/2016,Glenlyon Dam,Border Rivers,Golden Perch,100000
20/02/2016,Talgai Weir,Condamine and Balonne,Golden Perch,8695
20/02/2016,Leslie Dam,Condamine and Balonne,Golden Perch,92856
20/02/2016,Condamine River (Upper - Warwick),Condamine and Balonne,Golden Perch,20000
24/02/2016,Eungella Dam,Burdekin,Sooty Grunter,80000
25/02/2016,Cressbrook Dam,Brisbane,Golden Perch,20000
25/02/2016,Cressbrook Dam,Brisbane,Australian Bass,35000
26/02/2016,Connolly Dam,Condamine and Balonne,Golden Perch,7947
26/02/2016,Leslie Dam,Condamine and Balonne,Golden Perch,16800
27/02/2016,Theresa Creek Dam,Fitzroy,Barramundi,14200
28/02/2016,Theresa Creek Dam,Fitzroy,Golden Perch,34147
5/03/2016,Callide Dam,Fitzroy,Sleepy Cod,932
10/03/2016,Bjelke Peterson Dam,Burnett,Golden Perch,115000
10/03/2016,Bjelke Peterson Dam,Burnett,Silver Perch,15000
10/03/2016,Bjelke Peterson Dam,Burnett,Australian Bass,53000
12/03/2016,Fairbairn Dam,Fitzroy,Golden Perch,17276
12/03/2016,Fairbairn Dam,Fitzroy,Golden Perch,72728
12/03/2016,Kinchant Dam,Pioneer,Barramundi,2170
13/03/2016,Fairbairn Dam,Fitzroy,Barramundi,500
17/03/2016,Lake Awoonga,Gladstone,Barramundi,55274
19/03/2016,Fairbairn Dam,Fitzroy,Barramundi,27985
21/03/2016,Eungella Dam,Burdekin,Barramundi,3500
24/03/2016,Peter Faust Dam,Whitsundays,Barramundi,7000
26/03/2016,Wuruma Dam,Burnett,Australian Bass,40000
31/03/2016,Lake Awoonga,Gladstone,Barramundi,650
7/04/2016,Lake Awoonga,Gladstone,Barramundi,400
7/04/2016,Lake Awoonga,Gladstone,Barramundi,89
23/04/2016,Teemburra Dam,Pioneer,Barramundi,1423
23/04/2016,Kinchant Dam,Pioneer,Barramundi,473
23/05/2016,Tinaroo Dam,Barron,Barramundi,1515
11/06/2016,Aplins Weir,Townsville,Barramundi,2000
1/07/2016,Cania Dam,Burnett,Golden Perch,12000
9/08/2016,Lake Awoonga,Gladstone,Mangrove Jack,287
3/10/2016,Lake Awoonga,Gladstone,Barramundi,76201
6/10/2016,Copperlode Dam (Lake Morris),Barron,Barramundi,105
6/10/2016,Copperlode Dam (Lake Morris),Barron,Barramundi,26000
22/10/2016,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,25700
1/11/2016,Somerset Dam,Brisbane,Australian Bass,180000
1/11/2016,Somerset Dam,Brisbane,Golden Perch,42609
1/11/2016,Wivenhoe Dam,Brisbane,Australian Bass,193500
25/11/2016,Borumba Dam,Mary,Australian Bass,40000
26/11/2016,Lake MacDonald,Mary,Australian Bass,20383
29/11/2016,Lake Awoonga,Gladstone,Barramundi,23000
30/11/2016,Lake Awoonga,Gladstone,Barramundi,1000
1/12/2016,North Pine Dam,Pine,Mary River Cod,750
1/12/2016,Lake Kurwongbah (Sideling Creek Dam),Pine,Mary River Cod,500
3/12/2016,Callide Dam,Fitzroy,Barramundi,17727
9/12/2016,Fred Haigh Dam (Lake Monduran),Kolan,Barramundi,8800
9/12/2016,Fred Haigh Dam (Lake Monduran),Kolan,Barramundi,78923
12/12/2016,Lake Awoonga,Gladstone,Barramundi,25606
12/12/2016,Boondooma Dam,Burnett,Australian Bass,87723
12/12/2016,Lake Awoonga,Gladstone,Barramundi,38541
13/12/2016,Borumba Dam,Mary,Golden Perch,40000
15/12/2016,Lake Awoonga,Gladstone,Barramundi,15961
17/12/2016,Lake Kurwongbah (Sideling Creek Dam),Pine,Australian Bass,20000
17/12/2016,Lake Kurwongbah (Sideling Creek Dam),Pine,Golden Perch,10000
17/12/2016,North Pine Dam,Pine,Golden Perch,25000
17/12/2016,North Pine Dam,Pine,Australian Bass,80000
18/12/2016,Coolmunda Dam,Border Rivers,Golden Perch,66136
18/12/2016,Coolmunda Dam,Border Rivers,Murray Cod,15000
18/12/2016,Eungella Dam,Burdekin,Barramundi,800
22/12/2016,Cressbrook Dam,Brisbane,Mary River Cod,5000
30/12/2016,Leslie Dam,Condamine and Balonne,Murray Cod,10000
30/12/2016,Connolly Dam,Condamine and Balonne,Murray Cod,667
30/12/2016,Condamine River (Upper - Warwick),Condamine and Balonne,Murray Cod,2000
31/12/2016,Glenlyon Dam,Border Rivers,Golden Perch,65000
1/01/2017,Glenlyon Dam,Border Rivers,Golden Perch,20665
6/01/2017,Boondooma Dam,Burnett,Golden Perch,51305
6/01/2017,Gordonbrook Dam,Burnett,Australian Bass,22356
6/01/2017,Peter Faust Dam,Whitsundays,Barramundi,30000
7/01/2017,Lenthalls Dam (Lake Lenthall),Mary,Australian Bass,20000
7/01/2017,Fred Haigh Dam (Lake Monduran),Kolan,Australian Bass,21818
7/01/2017,Black Weir,Townsville,Barramundi,5300
8/01/2017,Storm King Dam,Border Rivers,Silver Perch,1500
8/01/2017,Storm King Dam,Border Rivers,Murray Cod,3400
8/01/2017,Storm King Dam,Border Rivers,Golden Perch,14000
17/01/2017,Lake Awoonga,Gladstone,Barramundi,25653
17/01/2017,Lake Awoonga,Gladstone,Barramundi,13744
17/01/2017,Lake Awoonga,Gladstone,Barramundi,17257
19/01/2017,Condamine River (Upper - Warwick),Condamine and Balonne,Golden Perch,22000
19/01/2017,Leslie Dam,Condamine and Balonne,Golden Perch,149089
19/01/2017,Connolly Dam,Condamine and Balonne,Golden Perch,7364
20/01/2017,Cooby Dam,Condamine and Balonne,Golden Perch,25000
20/01/2017,Cooby Dam,Condamine and Balonne,Murray Cod,3000
21/01/2017,Glenlyon Dam,Border Rivers,Golden Perch,45000
24/01/2017,Copperlode Dam (Lake Morris),Barron,Barramundi,820
25/01/2017,Fairbairn Dam,Fitzroy,Golden Perch,61818
28/01/2017,Eungella Dam,Burdekin,Barramundi,2200
28/01/2017,Lake MacDonald,Mary,Australian Bass,9549
29/01/2017,Lake Dyer (Bill Gunn Dam),Brisbane,Australian Bass,6000
29/01/2017,Lake Dyer (Bill Gunn Dam),Brisbane,Silver Perch,3000
29/01/2017,Lake Dyer (Bill Gunn Dam),Brisbane,Golden Perch,6000
29/01/2017,Tinaroo Dam,Barron,Barramundi,4000
31/01/2017,Lake Awoonga,Gladstone,Barramundi,23200
31/01/2017,Lake Awoonga,Gladstone,Barramundi,10550
31/01/2017,Glenlyon Dam,Border Rivers,Silver Perch,10000
31/01/2017,Glenlyon Dam,Border Rivers,Silver Perch,10000
4/02/2017,Maroon Dam,Logan,Golden Perch,36480
4/02/2017,Moogerah Dam,Brisbane,Silver Perch,22232
4/02/2017,Maroon Dam,Logan,Silver Perch,14592
4/02/2017,Moogerah Dam,Brisbane,Australian Bass,26278
4/02/2017,Maroon Dam,Logan,Australian Bass,17510
4/02/2017,Moogerah Dam,Brisbane,Golden Perch,55580
7/02/2017,Tinaroo Dam,Barron,Barramundi,4000
8/02/2017,Hinze Dam,Gold Coast,Mary River Cod,1000
9/02/2017,Glenlyon Dam,Border Rivers,Golden Perch,29000
11/02/2017,Tinaroo Dam,Barron,Barramundi,4000
11/02/2017,Callide Dam,Fitzroy,Golden Perch,16068
16/02/2017,Lake Awoonga,Gladstone,Barramundi,7326
16/02/2017,Lake Awoonga,Gladstone,Barramundi,43563
16/02/2017,Lake Awoonga,Gladstone,Barramundi,27800
18/02/2017,Talgai Weir,Condamine and Balonne,Murray Cod,649
18/02/2017,Talgai Weir,Condamine and Balonne,Golden Perch,6521
18/02/2017,Tinaroo Dam,Barron,Barramundi,12000
19/02/2017,Bjelke Peterson Dam,Burnett,Silver Perch,21136
19/02/2017,Bjelke Peterson Dam,Burnett,Australian Bass,43400
19/02/2017,Coolmunda Dam,Border Rivers,Silver Perch,10000
19/02/2017,Bjelke Peterson Dam,Burnett,Golden Perch,70454
20/02/2017,Lake Awoonga,Gladstone,Barramundi,1213
20/02/2017,Condamine River (Upper - Warwick),Condamine and Balonne,Silver Perch,1500
20/02/2017,Connolly Dam,Condamine and Balonne,Silver Perch,1500
20/02/2017,Leslie Dam,Condamine and Balonne,Silver Perch,10000
21/02/2017,Lake Awoonga,Gladstone,Barramundi,1227
26/02/2017,Peter Faust Dam,Whitsundays,Barramundi,3000
27/02/2017,Cressbrook Dam,Brisbane,Golden Perch,20000
27/02/2017,Tinaroo Dam,Barron,Barramundi,11720
27/02/2017,Cressbrook Dam,Brisbane,Australian Bass,35000
5/03/2017,Teemburra Dam,Pioneer,Barramundi,5135
6/03/2017,Lake Awoonga,Gladstone,Barramundi,1763
7/03/2017,Lake Awoonga,Gladstone,Barramundi,2700
11/03/2017,Kinchant Dam,Pioneer,Barramundi,2450
12/03/2017,Cania Dam,Burnett,Australian Bass,35029
15/03/2017,Lake Awoonga,Gladstone,Barramundi,800
24/03/2017,Ben Anderson Barrage,Burnett,Barramundi,4000
25/03/2017,Lenthalls Dam (Lake Lenthall),Mary,Barramundi,9091
19/04/2017,Fairbairn Dam,Fitzroy,Barramundi,30909
22/04/2017,Eungella Dam,Burdekin,Sooty Grunter,100000
3/05/2017,Lake Awoonga,Gladstone,Barramundi,10775
11/05/2017,Lake Awoonga,Gladstone,Barramundi,896
15/05/2017,Lake Awoonga,Gladstone,Barramundi,2700
27/05/2017,Kinchant Dam,Pioneer,Barramundi,7622
27/05/2017,Borumba Dam,Mary,Silver Perch,10000
27/05/2017,Borumba Dam,Mary,Australian Bass,10000
4/06/2017,Peter Faust Dam,Whitsundays,Barramundi,7812
8/06/2017,Lake Awoonga,Gladstone,Mangrove Jack,453
8/06/2017,Lake Awoonga,Gladstone,Mangrove Jack,6055
11/06/2017,Lake Awoonga,Gladstone,Mangrove Jack,3261
1/10/2017,Fred Haigh Dam (Lake Monduran),Kolan,Barramundi,83000
28/10/2017,Lenthalls Dam (Lake Lenthall),Mary,Australian Bass,14182
4/11/2017,Tinaroo Dam,Barron,Barramundi,150
4/11/2017,Borumba Dam,Mary,Australian Bass,35000
5/11/2017,Wivenhoe Dam,Brisbane,Australian Bass,120000
8/11/2017,Lake Awoonga,Gladstone,Barramundi,38
12/11/2017,Wivenhoe Dam,Brisbane,Australian Bass,68982
18/11/2017,Gordonbrook Dam,Burnett,Australian Bass,26240
18/11/2017,Boondooma Dam,Burnett,Australian Bass,82000
21/11/2017,Hinze Dam,Gold Coast,Australian Bass,53371
1/12/2017,Wivenhoe Dam,Brisbane,Mary River Cod,2660
1/12/2017,Wyaralong Dam,Logan,Australian Bass,10000
1/12/2017,Wyaralong Dam,Logan,Mary River Cod,8500
2/12/2017,Tinaroo Dam,Barron,Barramundi,8700
3/12/2017,Teemburra Dam,Pioneer,Barramundi,7100
6/12/2017,Borumba Dam,Mary,Mary River Cod,1000
8/12/2017,Wyaralong Dam,Logan,Mary River Cod,5300
9/12/2017,Ewen Maddock Dam,Mary,Australian Bass,18477
9/12/2017,Lake MacDonald,Mary,Golden Perch,9090
9/12/2017,Woodford Weir,Brisbane,Australian Bass,3000
9/12/2017,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,19000
9/12/2017,Woodford Weir,Brisbane,Golden Perch,1600
9/12/2017,Caboolture River Weir,Caboolture,Australian Bass,16000
9/12/2017,Baroon Pocket Dam,Mary River,Australian Bass,12211
9/12/2017,Ross River Dam,Ross,Barramundi,15000
10/12/2017,Ewen Maddock Dam,Mary,Mary River Cod,200
10/12/2017,Baroon Pocket Dam,Mary River,Mary River Cod,2500
17/12/2017,Jones Weir,Burnett,Australian Bass,6558
17/12/2017,Jones Weir,Burnett,Golden Perch,8197
19/12/2017,Bjelke Peterson Dam,Burnett,Golden Perch,109090
20/12/2017,Lake Awoonga,Gladstone,Barramundi,12411
21/12/2017,Cressbrook Dam,Brisbane,Mary River Cod,2500
23/12/2017,Claude Wharton Weir,Burnett,Australian Bass,18181
23/12/2017,Claude Wharton Weir,Burnett,Golden Perch,22727
31/12/2017,Glenlyon Dam,Border Rivers,Golden Perch,65000
1/01/2018,Lake Awoonga,Gladstone,Barramundi,13000
2/01/2018,Borumba Dam,Mary,Golden Perch,25000
4/01/2018,Lake Belmore,Gulf,Barramundi,18123
4/01/2018,Connolly Dam,Condamine and Balonne,Murray Cod,500
4/01/2018,Leslie Dam,Condamine and Balonne,Murray Cod,5910
7/01/2018,Boondooma Dam,Burnett,Golden Perch,111364
12/01/2018,Cressbrook Dam,Brisbane,Golden Perch,25000
12/01/2018,Cressbrook Dam,Brisbane,Australian Bass,30000
13/01/2018,Bjelke Peterson Dam,Burnett,Silver Perch,9090
13/01/2018,Somerset Dam,Brisbane,Golden Perch,60035
13/01/2018,Bjelke Peterson Dam,Burnett,Australian Bass,56000
13/01/2018,Surat Weir,Condamine and Balonne,Murray Cod,3400
13/01/2018,Surat Weir,Condamine and Balonne,Silver Perch,20833
13/01/2018,Surat Weir,Condamine and Balonne,Golden Perch,31250
14/01/2018,Goondiwindi (Hilton) Weir,Border Rivers,Murray Cod,2900
14/01/2018,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,30000
14/01/2018,Leslie Dam,Condamine and Balonne,Golden Perch,62000
14/01/2018,North Pine Dam,Pine,Australian Bass,80000
14/01/2018,North Pine Dam,Pine,Golden Perch,25000
14/01/2018,North Pine Dam,Pine,Silver Perch,5000
14/01/2018,Storm King Dam,Border Rivers,Golden Perch,13190
14/01/2018,Storm King Dam,Border Rivers,Murray Cod,1885
14/01/2018,Lake Kurwongbah (Sideling Creek Dam),Pine,Australian Bass,20000
15/01/2018,Cooby Dam,Condamine and Balonne,Murray Cod,1400
15/01/2018,Cooby Dam,Condamine and Balonne,Golden Perch,25000
17/01/2018,Connolly Dam,Condamine and Balonne,Golden Perch,6072
17/01/2018,Leslie Dam,Condamine and Balonne,Golden Perch,45000
20/01/2018,Talgai Weir,Condamine and Balonne,Golden Perch,6525
20/01/2018,Callide Dam,Fitzroy,Golden Perch,38709
20/01/2018,Kinchant Dam,Pioneer,Barramundi,3510
20/01/2018,Tinaroo Dam,Barron,Barramundi,14500
21/01/2018,Leslie Dam,Condamine and Balonne,Golden Perch,26928
21/01/2018,Leslie Dam,Condamine and Balonne,Murray Cod,9100
21/01/2018,Somerset Dam,Brisbane,Australian Bass,158490
25/01/2018,Glenlyon Dam,Border Rivers,Golden Perch,77500
25/01/2018,Callide Dam,Fitzroy,Barramundi,6153
26/01/2018,Peter Faust Dam,Whitsundays,Barramundi,9750
27/01/2018,Bonshaw Weir,Border Rivers,Golden Perch,10874
27/01/2018,Bonshaw Weir,Border Rivers,Golden Perch,2520
27/01/2018,Beebo Weir,Border Rivers,Golden Perch,2173
27/01/2018,Glenarbon Weir,Border Rivers,Golden Perch,2173
31/01/2018,Maroon Dam,Logan,Golden Perch,21241
31/01/2018,Moogerah Dam,Brisbane,Australian Bass,55476
31/01/2018,Maroon Dam,Logan,Australian Bass,25611
31/01/2018,Moogerah Dam,Brisbane,Golden Perch,46227
2/02/2018,Lake Dyer (Bill Gunn Dam),Brisbane,Golden Perch,13727
2/02/2018,Lake Dyer (Bill Gunn Dam),Brisbane,Australian Bass,4000
2/02/2018,Lake Dyer (Bill Gunn Dam),Brisbane,Silver Perch,4000
3/02/2018,Paradise Dam,Burnett,Australian Bass,18181
4/02/2018,Glenlyon Dam,Border Rivers,Golden Perch,3800
10/02/2018,Coolmunda Dam,Border Rivers,Golden Perch,99659
10/02/2018,Coolmunda Dam,Border Rivers,Silver Perch,15000
10/02/2018,Coolmunda Dam,Border Rivers,Murray Cod,500
11/02/2018,Whetstone Weir,Border Rivers,Murray Cod,165
11/02/2018,Bendor Weir,Border Rivers,Murray Cod,170
11/02/2018,Lemon Tree Weir,Condamine and Balonne,Murray Cod,166
11/02/2018,Inglewood Town Weir,Border Rivers,Golden Perch,1415
11/02/2018,Yarramalong Weir,Condamine and Balonne,Murray Cod,166
11/02/2018,Yarramalong Weir,Condamine and Balonne,Golden Perch,4045
11/02/2018,Inglewood Town Weir,Border Rivers,Murray Cod,165
11/02/2018,Lemon Tree Weir,Condamine and Balonne,Golden Perch,4045
11/02/2018,Cecil Plains Weir,Condamine and Balonne,Golden Perch,4045
11/02/2018,Cecil Plains Weir,Condamine and Balonne,Murray Cod,166
11/02/2018,Bendor Weir,Border Rivers,Golden Perch,1425
11/02/2018,Whetstone Weir,Border Rivers,Golden Perch,1415
13/02/2018,Lake MacDonald,Mary,Golden Perch,14932
13/02/2018,Lake MacDonald,Mary,Australian Bass,12000
17/02/2018,Koombooloomba Dam,Tully,Barramundi,2250
17/02/2018,Tinaroo Dam,Barron,Barramundi,4200
17/02/2018,Eungella Dam,Burdekin,Barramundi,2000
18/02/2018,Kinchant Dam,Pioneer,Barramundi,1150
18/02/2018,Tinaroo Dam,Barron,Barramundi,15000
20/02/2018,Lake Awoonga,Gladstone,Barramundi,1300
24/02/2018,Cania Dam,Burnett,Golden Perch,6818
24/02/2018,Cania Dam,Burnett,Silver Perch,6818
24/02/2018,Cania Dam,Burnett,Australian Bass,36363
24/02/2018,Borumba Dam,Mary,Silver Perch,9608
1/03/2018,Lake Awoonga,Gladstone,Barramundi,10171
2/03/2018,Storm King Dam,Border Rivers,Silver Perch,1000
3/03/2018,Lenthalls Dam (Lake Lenthall),Mary,Barramundi,9000
3/03/2018,Eungella Dam,Burdekin,Barramundi,2000
3/03/2018,Connolly Dam,Condamine and Balonne,Silver Perch,1500
3/03/2018,Leslie Dam,Condamine and Balonne,Silver Perch,5000
3/03/2018,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,40000
3/03/2018,Goondiwindi (Hilton) Weir,Border Rivers,Silver Perch,5000
7/03/2018,Gil Weir,Condamine and Balonne,Golden Perch,1300
7/03/2018,Lake Awoonga,Gladstone,Barramundi,16121
7/03/2018,Gil Weir,Condamine and Balonne,Golden Perch,20000
7/03/2018,Gil Weir,Condamine and Balonne,Silver Perch,1250
9/03/2018,Chinchilla Weir,Condamine and Balonne,Golden Perch,15540
9/03/2018,Chinchilla Weir,Condamine and Balonne,Silver Perch,10360
15/03/2018,Lake Awoonga,Gladstone,Barramundi,13260
16/03/2018,Lake Awoonga,Gladstone,Barramundi,26546
17/03/2018,Fairbairn Dam,Fitzroy,Silver Perch,26000
17/03/2018,Fairbairn Dam,Fitzroy,Golden Perch,39500
18/03/2018,Tinaroo Dam,Barron,Barramundi,12000
6/04/2018,Lake Awoonga,Gladstone,Barramundi,7000
9/04/2018,Lake Awoonga,Gladstone,Barramundi,9400
10/04/2018,Lake Awoonga,Gladstone,Barramundi,3891
10/04/2018,Lenthalls Dam (Lake Lenthall),Mary,Barramundi,5364
13/04/2018,Lake Awoonga,Gladstone,Barramundi,2313
14/04/2018,Fairbairn Dam,Fitzroy,Barramundi,9000
16/04/2018,Lake Awoonga,Gladstone,Barramundi,5639
17/04/2018,Lake Awoonga,Gladstone,Barramundi,2264
18/04/2018,Lake Awoonga,Gladstone,Barramundi,1828
2/05/2018,Lake Awoonga,Gladstone,Barramundi,14941
4/05/2018,Lake Awoonga,Gladstone,Barramundi,20678
9/05/2018,Lake Awoonga,Gladstone,Barramundi,17878
10/05/2018,Lake Awoonga,Gladstone,Barramundi,11164
11/05/2018,Koombooloomba Dam,Tully,Barramundi,3605
11/05/2018,Lake Awoonga,Gladstone,Barramundi,12200
16/05/2018,Lake Awoonga,Gladstone,Barramundi,11244
17/05/2018,Lake Awoonga,Gladstone,Barramundi,12844
23/05/2018,Lake Awoonga,Gladstone,Barramundi,11111
24/05/2018,Lake Awoonga,Gladstone,Barramundi,11140
28/05/2018,Lake Awoonga,Gladstone,Barramundi,9560
5/06/2018,Lake Awoonga,Gladstone,Barramundi,9600
11/08/2018,Ross River Dam,Ross,Barramundi,25000
