Date Stocked,Location stocked,Catchment,Species stocked,Number stocked
8/01/2012,Gil Weir,Condamine and Balonne,Golden Perch,20000
8/01/2012,Gil Weir,Condamine and Balonne,Silver Perch,1000
12/01/2012,Logan River,Logan,Australian Bass,35000
12/01/2012,Albert River,Logan,Australian Bass,35000
13/01/2012,Storm King Dam,Border Rivers,Golden Perch,8667
13/01/2012,Bedford Weir,Fitzroy,Barramundi,25280
13/01/2012,Storm King Dam,Border Rivers,Murray Cod,2125
13/01/2012,Storm King Dam,Border Rivers,Silver Perch,8667
14/01/2012,Ewen Maddock Dam,Mary,Saratoga,15
15/01/2012,Lake Gregory,Burnett,Australian Bass,28384
18/01/2012,Wivenhoe Dam,Brisbane,Golden Perch,27621
18/01/2012,Somerset Dam,Brisbane,Golden Perch,78588
19/01/2012,Ewen Maddock Dam,Mary,Australian Bass,20000
19/01/2012,Baroon Pocket Dam,Mary River,Australian Bass,20000
19/01/2012,Norman River,Gulf,Barramundi,31000
22/01/2012,Lake MacDonald,Mary,Australian Bass,27778
24/01/2012,Trinity Inlet,Barron,Barramundi,500
24/01/2012,Barron River,Barron,Barramundi,500
24/01/2012,Russell River,Mulgrave-Russell,Barramundi,500
24/01/2012,Lake Dyer,Brisbane,Australian Bass,7000
24/01/2012,Mulgrave River,Mulgrave-Russell,Barramundi,500
24/01/2012,Lake Dyer,Brisbane,Golden Perch,8000
24/01/2012,Lake Dyer,Brisbane,Silver Perch,4600
27/01/2012,North Pine Dam,Pine,Golden Perch,60000
28/01/2012,Cecil Plains Weir,Condamine and Balonne,Golden Perch,25000
28/01/2012,Cecil Plains Weir,Condamine and Balonne,Murray Cod,10000
3/02/2012,Gil Weir,Condamine and Balonne,Murray Cod,2700
3/02/2012,Gil Weir,Condamine and Balonne,Golden Perch,500
4/02/2012,Accommodation Creek,Border Rivers,Golden Perch,2000
4/02/2012,Accommodation Creek,Border Rivers,Murray Cod,600
4/02/2012,Severn River,Border Rivers,Golden Perch,1500
4/02/2012,Severn River,Border Rivers,Murray Cod,650
